Country,Happiness Rank,Happiness Score,Whisker.high,Whisker.low,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Cambodia,129,4.168000221,4.278517814,4.057482629,0.601765096,0.429783404,0.633375823,0.068105951,0.385922968
Sudan,130,4.138999939,4.345747165,3.932252713,0.659516692,0.290920824,0.014995855,0.08984752,0.182317451
Ghana,131,4.119999886,4.222707209,4.017292563,0.667224824,0.295637727,0.423026294,0.02533637,0.256923944
Ukraine,132,4.096000195,4.185410105,4.006590285,0.894651949,0.575903952,0.122974776,0.023029471,0.270061463
Uganda,133,4.080999851,4.195799967,3.966199735,0.381430715,0.217632607,0.443185955,0.057069719,0.325766057
Burkina Faso,134,4.032000065,4.124059064,3.939941065,0.350227714,0.215844259,0.324367851,0.120328106,0.250864685
Niger,135,4.027999878,4.11194682,3.944052936,0.161925331,0.268505007,0.363658696,0.138572946,0.228673846
Malawi,136,3.970000029,4.077478817,3.86252124,0.233442038,0.315089583,0.466914654,0.072711654,0.28717047
Chad,137,3.936000109,4.034711524,3.837288693,0.438012987,0.041134715,0.162342027,0.053581882,0.21611385
Zimbabwe,138,3.875,3.978699643,3.771300357,0.375846535,0.196763754,0.336384207,0.095375381,0.189143494
Lesotho,139,3.808000088,4.044343975,3.5716562,0.521021247,0,0.390661299,0.11909464,0.157497272
Angola,140,3.795000076,3.951641935,3.638358217,0.85842818,0.049868666,0,0.069720335,0.09792649
Afghanistan,141,3.79399991,3.873661415,3.714338405,0.401477218,0.180746779,0.10617952,0.06115783,0.311870933
Botswana,142,3.766000032,3.874122666,3.657877399,1.122094154,0.341755509,0.505196333,0.098583199,0.099348448
Benin,143,3.657000065,3.745783551,3.568216578,0.431085408,0.209930211,0.425962776,0.060929015,0.207948461
Madagascar,144,3.644000053,3.714319106,3.573681001,0.305808693,0.375223309,0.189196765,0.067231975,0.20873253
Haiti,145,3.602999926,3.734714798,3.471285053,0.368610263,0.27732113,0.030369857,0.09987215,0.489203781
Yemen,146,3.592999935,3.69275032,3.49324955,0.591683447,0.310080916,0.249463722,0.056767423,0.104125209
South Sudan,147,3.59100008,3.725538586,3.456461574,0.397248626,0.163486004,0.147062436,0.116793513,0.285670817
Liberia,148,3.532999992,3.653756261,3.412243724,0.119041793,0.229918197,0.332881182,0.038948249,0.266549885
Guinea,149,3.506999969,3.584428129,3.42957181,0.24454993,0.194129139,0.348587513,0.110937618,0.264815092
Togo,150,3.494999886,3.594038112,3.395961659,0.305444717,0.247105569,0.380426139,0.095665015,0.196896151
Rwanda,151,3.470999956,3.543030234,3.398969679,0.368745893,0.326424807,0.581843853,0.455220014,0.252756029
Syria,152,3.461999893,3.663668557,3.26033123,0.777153134,0.500533342,0.081539445,0.151347131,0.493663728
Tanzania,153,3.348999977,3.461429755,3.236570199,0.511135876,0.364509284,0.390017778,0.066035107,0.354256362
Burundi,154,2.904999971,3.074690333,2.73530961,0.091622569,0.151610792,0.059900753,0.084147945,0.204435185
Central African Republic,155,2.693000078,2.864884269,2.521115887,0,0.018772686,0.270842046,0.056565076,0.280876487
